file;instance number;r;R;inst type;problem type;model;algorithm;z;best lp + const;root bound;opened facilities;lazy cuts connectivity;lazy cuts coverage;user cuts coverage;node count;time;status;z*;gap z*;gap z lp;id code;comments
datap/pmed1.txt;1;150;20; pmed ; CPIF ;SZ;nobenders;82;82;0;0;0;0;0;0;0.016693;101;82;0;0;1-150-20;
datap/pmed1.txt;1;150;15; pmed ; CPIF ;SZ;nobenders;83;83;0;0;0;0;0;0;0.031511;101;83;0;0;1-150-15;
datap/pmed1.txt;1;150;12; pmed ; CPIF ;SZ;nobenders;84;84;0;0;0;0;0;0;0.023347;101;84;0;0;1-150-12;
datap/pmed1.txt;1;150;10; pmed ; CPIF ;SZ;nobenders;85;85;0;0;0;0;0;0;0.03855;101;85;0;0;1-150-10;
datap/pmed1.txt;1;150;8; pmed ; CPIF ;SZ;nobenders;87;87;0;0;0;0;0;0;0.026129;101;87;0;0;1-150-8;
datap/pmed1.txt;1;100;20; pmed ; CPIF ;SZ;nobenders;82;82;0;0;0;0;0;0;0.01554;101;82;0;0;1-100-20;
datap/pmed1.txt;1;100;15; pmed ; CPIF ;SZ;nobenders;83;83;0;0;0;0;0;0;0.030056;101;83;0;0;1-100-15;
datap/pmed1.txt;1;100;12; pmed ; CPIF ;SZ;nobenders;85;85;0;0;0;0;0;0;0.031383;101;85;0;0;1-100-12;
datap/pmed1.txt;1;100;10; pmed ; CPIF ;SZ;nobenders;86;86;0;0;0;0;0;0;0.056051;101;86;0;0;1-100-10;
datap/pmed1.txt;1;100;8; pmed ; CPIF ;SZ;nobenders;87;87;0;0;0;0;0;0;0.042209;101;87;0;0;1-100-8;
datap/pmed1.txt;1;80;20; pmed ; CPIF ;SZ;nobenders;83;83;0;0;0;0;0;19;0.909657;101;83;0;0;1-80-20;
datap/pmed1.txt;1;80;15; pmed ; CPIF ;SZ;nobenders;85;85;0;0;0;0;0;11;0.227908;101;85;0;0;1-80-15;
datap/pmed1.txt;1;80;12; pmed ; CPIF ;SZ;nobenders;85;85;0;0;0;0;0;0;0.024093;101;85;0;0;1-80-12;
datap/pmed1.txt;1;80;10; pmed ; CPIF ;SZ;nobenders;86;86;0;0;0;0;0;0;0.024208;101;86;0;0;1-80-10;
datap/pmed1.txt;1;80;8; pmed ; CPIF ;SZ;nobenders;87;87;0;0;0;0;0;0;0.034057;101;87;0;0;1-80-8;
datap/pmed2.txt;2;150;20; pmed ; CPIF ;SZ;nobenders;66;66;0;0;0;0;0;0;0.02871;101;66;0;0;2-150-20;
datap/pmed2.txt;2;150;15; pmed ; CPIF ;SZ;nobenders;69;69;0;0;0;0;0;0;0.065712;101;69;0;0;2-150-15;
datap/pmed2.txt;2;150;12; pmed ; CPIF ;SZ;nobenders;71;71;0;0;0;0;0;0;0.022088;101;71;0;0;2-150-12;
datap/pmed2.txt;2;150;10; pmed ; CPIF ;SZ;nobenders;74;74;0;0;0;0;0;0;0.059599;101;74;0;0;2-150-10;
datap/pmed2.txt;2;150;8; pmed ; CPIF ;SZ;nobenders;78;78;0;0;0;0;0;0;0.026844;101;78;0;0;2-150-8;
datap/pmed2.txt;2;100;20; pmed ; CPIF ;SZ;nobenders;66;66;0;0;0;0;0;0;0.036031;101;66;0;0;2-100-20;
datap/pmed2.txt;2;100;15; pmed ; CPIF ;SZ;nobenders;69;69;0;0;0;0;0;0;0.036276;101;69;0;0;2-100-15;
datap/pmed2.txt;2;100;12; pmed ; CPIF ;SZ;nobenders;71;71;0;0;0;0;0;0;0.028341;101;71;0;0;2-100-12;
datap/pmed2.txt;2;100;10; pmed ; CPIF ;SZ;nobenders;74;74;0;0;0;0;0;0;0.044777;101;74;0;0;2-100-10;
datap/pmed2.txt;2;100;8; pmed ; CPIF ;SZ;nobenders;78;78;0;0;0;0;0;0;0.026225;101;78;0;0;2-100-8;
datap/pmed2.txt;2;80;20; pmed ; CPIF ;SZ;nobenders;66;66;0;0;0;0;0;0;0.033149;101;66;0;0;2-80-20;
datap/pmed2.txt;2;80;15; pmed ; CPIF ;SZ;nobenders;69;69;0;0;0;0;0;0;0.025663;101;69;0;0;2-80-15;
datap/pmed2.txt;2;80;12; pmed ; CPIF ;SZ;nobenders;71;71;0;0;0;0;0;0;0.024998;101;71;0;0;2-80-12;
datap/pmed2.txt;2;80;10; pmed ; CPIF ;SZ;nobenders;75;75;0;0;0;0;0;0;0.161091;101;75;0;0;2-80-10;
datap/pmed2.txt;2;80;8; pmed ; CPIF ;SZ;nobenders;79;79;0;0;0;0;0;1;0.200789;101;79;0;0;2-80-8;
datap/pmed3.txt;3;150;20; pmed ; CPIF ;SZ;nobenders;65;65;0;0;0;0;0;0;0.103429;101;65;0;0;3-150-20;
datap/pmed3.txt;3;150;15; pmed ; CPIF ;SZ;nobenders;69;69;0;0;0;0;0;0;0.059984;101;69;0;0;3-150-15;
datap/pmed3.txt;3;150;12; pmed ; CPIF ;SZ;nobenders;74;74;0;0;0;0;0;0;0.045495;101;74;0;0;3-150-12;
datap/pmed3.txt;3;150;10; pmed ; CPIF ;SZ;nobenders;77;77;0;0;0;0;0;0;0.126283;101;77;0;0;3-150-10;
datap/pmed3.txt;3;150;8; pmed ; CPIF ;SZ;nobenders;79;79;0;0;0;0;0;0;0.046793;101;79;0;0;3-150-8;
datap/pmed3.txt;3;100;20; pmed ; CPIF ;SZ;nobenders;65;65;0;0;0;0;0;0;0.090831;101;65;0;0;3-100-20;
datap/pmed3.txt;3;100;15; pmed ; CPIF ;SZ;nobenders;69;69;0;0;0;0;0;0;0.047568;101;69;0;0;3-100-15;
datap/pmed3.txt;3;100;12; pmed ; CPIF ;SZ;nobenders;74;74;0;0;0;0;0;0;0.034695;101;74;0;0;3-100-12;
datap/pmed3.txt;3;100;10; pmed ; CPIF ;SZ;nobenders;77;77;0;0;0;0;0;0;0.018517;101;77;0;0;3-100-10;
datap/pmed3.txt;3;100;8; pmed ; CPIF ;SZ;nobenders;79;79;0;0;0;0;0;0;0.044377;101;79;0;0;3-100-8;
datap/pmed3.txt;3;80;20; pmed ; CPIF ;SZ;nobenders;66;66;0;0;0;0;0;0;0.453788;101;66;0;0;3-80-20;
datap/pmed3.txt;3;80;15; pmed ; CPIF ;SZ;nobenders;70;70;0;0;0;0;0;0;0.156014;101;70;0;0;3-80-15;
datap/pmed3.txt;3;80;12; pmed ; CPIF ;SZ;nobenders;74;74;0;0;0;0;0;0;0.038952;101;74;0;0;3-80-12;
datap/pmed3.txt;3;80;10; pmed ; CPIF ;SZ;nobenders;78;78;0;0;0;0;0;89;0.894604;101;78;0;0;3-80-10;
datap/pmed3.txt;3;80;8; pmed ; CPIF ;SZ;nobenders;80;80;0;0;0;0;0;102;0.979815;101;80;0;0;3-80-8;
datap/pmed4.txt;4;150;20; pmed ; CPIF ;SZ;nobenders;51;51;0;0;0;0;0;0;0.053435;101;51;0;0;4-150-20;
datap/pmed4.txt;4;150;15; pmed ; CPIF ;SZ;nobenders;59;59;0;0;0;0;0;0;0.361252;101;59;0;0;4-150-15;
datap/pmed4.txt;4;150;12; pmed ; CPIF ;SZ;nobenders;64;64;0;0;0;0;0;0;0.34666;101;64;0;0;4-150-12;
datap/pmed4.txt;4;150;10; pmed ; CPIF ;SZ;nobenders;67;67;0;0;0;0;0;0;0.170148;101;67;0;0;4-150-10;
datap/pmed4.txt;4;150;8; pmed ; CPIF ;SZ;nobenders;73;73;0;0;0;0;0;0;0.145436;101;73;0;0;4-150-8;
datap/pmed4.txt;4;100;20; pmed ; CPIF ;SZ;nobenders;51;51;0;0;0;0;0;0;0.098289;101;51;0;0;4-100-20;
datap/pmed4.txt;4;100;15; pmed ; CPIF ;SZ;nobenders;59;59;0;0;0;0;0;0;0.03859;101;59;0;0;4-100-15;
datap/pmed4.txt;4;100;12; pmed ; CPIF ;SZ;nobenders;64;64;0;0;0;0;0;0;0.090114;101;64;0;0;4-100-12;
datap/pmed4.txt;4;100;10; pmed ; CPIF ;SZ;nobenders;67;67;0;0;0;0;0;0;0.097922;101;67;0;0;4-100-10;
datap/pmed4.txt;4;100;8; pmed ; CPIF ;SZ;nobenders;73;73;0;0;0;0;0;0;0.111768;101;73;0;0;4-100-8;
datap/pmed4.txt;4;80;20; pmed ; CPIF ;SZ;nobenders;51;51;0;0;0;0;0;0;0.103445;101;51;0;0;4-80-20;
datap/pmed4.txt;4;80;15; pmed ; CPIF ;SZ;nobenders;59;59;0;0;0;0;0;0;0.101846;101;59;0;0;4-80-15;
datap/pmed4.txt;4;80;12; pmed ; CPIF ;SZ;nobenders;64;64;0;0;0;0;0;0;0.057259;101;64;0;0;4-80-12;
datap/pmed4.txt;4;80;10; pmed ; CPIF ;SZ;nobenders;67;67;0;0;0;0;0;0;0.047188;101;67;0;0;4-80-10;
datap/pmed4.txt;4;80;8; pmed ; CPIF ;SZ;nobenders;73;73;0;0;0;0;0;0;0.065457;101;73;0;0;4-80-8;
datap/pmed5.txt;5;150;20; pmed ; CPIF ;SZ;nobenders;24;24;0;0;0;0;0;0;0.097259;101;24;0;0;5-150-20;
datap/pmed5.txt;5;150;15; pmed ; CPIF ;SZ;nobenders;33;33;0;0;0;0;0;0;0.126027;101;33;0;0;5-150-15;
datap/pmed5.txt;5;150;12; pmed ; CPIF ;SZ;nobenders;36;36;0;0;0;0;0;0;0.239565;101;36;0;0;5-150-12;
datap/pmed5.txt;5;150;10; pmed ; CPIF ;SZ;nobenders;38;38;0;0;0;0;0;0;0.083846;101;38;0;0;5-150-10;
datap/pmed5.txt;5;150;8; pmed ; CPIF ;SZ;nobenders;44;44;0;0;0;0;0;0;0.143889;101;44;0;0;5-150-8;
