file;na;r;R;mpif;model;na;sol;z;bestlp;root;cuts;cuts;cuts;cuts;nodecount;time;status;gap
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;34682;34682;34682;0;0;0;0;0;0;0.035103;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;45372;45372;45372;0;0;0;0;0;0;0.035668;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;174050;174050;174050;0;0;0;0;0;0;0.233362;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;220414;220414;220414;0;0;0;0;0;0;0.243588;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;354048;354048;354048;0;0;0;0;0;0;0.414806;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;445795;445795;445795;0;0;0;0;0;0;0.489733;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;1786276;1786276;1786276;0;0;0;0;0;0;9.833922;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;2231812;2231812;2231812;0;0;0;0;0;0;10.221225;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;3575217;3575217;3575217;0;0;0;0;0;0;49.963198;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;4473082;4473082;4473082;0;0;0;0;0;0;55.402785;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;34682;34682;34682;0;0;0;0;0;0;0.75197;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;45372;45372;45372;0;0;0;0;0;0;0.49199;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;174050;174050;174050;0;0;0;0;0;0;1.74975;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;220414;220414;220414;0;0;0;0;0;0;1.103459;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;354048;354048;354048;0;0;0;0;0;0;3.510958;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;445795;445795;445795;0;0;0;0;0;0;1.924348;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;1786276;1786276;1786276;0;0;0;0;0;0;44.605264;lpstatus: 101;0
