file,na,r,mpif,model,na,sol,z,bestlp,root,cuts,cuts,cuts,cuts,nodecount,time,status,gap,n_clients
GRID_PSCLP_n100_m1000_d1_100_f10_100_s5.dat, NA ,3.4, MPIF ,NW, nobenders ,792987.5389,792987.5389,792987.5389,-9.25596E+61,8,0,0,0,0,0.336,lpstatus: 101,0,1000
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat, NA ,3.4, MPIF ,NW, nobenders ,402148.3538,402148.3538,402148.3538,-9.25596E+61,18,0,0,0,0,0.715,lpstatus: 101,0,1000
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,NV, nobenders ,81963.46559,81963.46559,81963.46559,77367.84604,88,110,1021,0,1,0.779,lpstatus: 101,0,1000
GRID_PSCLP_n100_m1000_d1_100_f10_100_s5.dat, NA ,5.5, MPIF ,NW, nobenders ,96075.88835,96075.88835,96075.88835,-9.25596E+61,88,0,0,0,0,1.588,lpstatus: 101,0,1000
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,NW, nobenders ,81963.46559,81963.46559,81963.46559,-9.25596E+61,88,0,0,0,0,1.837,lpstatus: 101,0,1000
GRID_PSCLP_n100_m5000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,NV, nobenders ,407752.5278,407752.5278,407752.5278,402443.5278,100,36,4908,0,1,3.599,lpstatus: 101,0,5000
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat, NA ,3.4, MPIF ,SW, nobenders ,402148.3538,402148.3538,402148.3538,-9.25596E+61,0,0,0,0,0,3.746,lpstatus: 101,0,1000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,NV, nobenders ,805234.2126,805234.2126,805234.2126,800003.2126,100,43,66,9749,0,3.792,lpstatus: 101,0,10000
GRID_PSCLP_n100_m1000_d1_100_f10_100_s5.dat, NA ,5.5, MPIF ,NV, nobenders ,96075.88835,96075.88835,96075.88835,82470.72665,88,9,39722,0,1,4.458,lpstatus: 101,0,1000
GRID_PSCLP_n100_m1000_d1_100_f10_100_s5.dat, NA ,5.5, MPIF ,MW, nobenders ,96075.88835,96075.88835,96075.88835,-9.25596E+61,0,0,0,0,0,4.88,lpstatus: 101,0,1000
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat, NA ,5.5, MPIF ,MW, nobenders ,81963.46559,81963.46559,81963.46559,-9.25596E+61,0,0,0,0,0,5.052,lpstatus: 101,0,1000
GRID_PSCLP_n100_m1000_d1_100_f10_100_s5.dat, NA ,3.4, MPIF ,SW, nobenders ,792987.5389,792987.5389,792987.5389,-9.25596E+61,0,0,0,0,0,5.206,lpstatus: 101,0,1000
GRID_PSCLP_n100_m10000_d1_100_f10_100_s5.dat, NA ,5.5, MPIF ,NV, nobenders ,891619.1308,891619.1308,891619.1308,799382.5108,97,67,10246,0,1,5.456,lpstatus: 101,0,10000
